"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
3,90,-18,2.30039500402962
3,90,-15,2.40514036054617
3,90,-12,2.48886608837428
3,90,-9,2.54309854223017
3,90,-6,2.56018629146288
3,90,-3,2.53444138952821
3,90,0,2.46310967373605
3,90,3,2.34699733562174
3,90,6,2.19063077325804
3,90,9,2.00189696014973
3,90,12,1.79119313651376
3,90,15,1.57020127587553
3,90,18,1.35048392244885
3,90,21,1.14215220313759
3,90,24,0.95285630476352
3,90,27,0.787276446083812
3,90,30,0.647160727310527
3,90,33,0.53181050403218
3,90,36,0.438812694100883
3,90,39,0.364800526926634
3,90,42,0.306085293396548
3,90,45,0.259098439139759
3,90,48,0.220663456893736
3,90,51,0.188150868272613
3,90,54,0.159561297453869
3,90,57,0.133555454200245
3,90,60,0.109428526043173
3,90,63,0.0870203090821623
3,90,66,0.066561426588432
3,90,69,0.0484753307018962
3,90,72,0.0331767406552312
3,90,75,0.0209174730052155
3,90,78,0.0117202199286394
3,90,81,0.00541076258398517
3,90,84,0.00172360100700146
3,90,87,0.000433048123780002
3,90,90,0.00146006110433264
3,90,93,0.00491952814901203
3,90,96,0.0110932099794836
3,90,99,0.02033482815231
3,90,102,0.0329357718320101
3,90,105,0.0489989572769065
3,90,108,0.0683734885581841
3,90,111,0.0906843473319351
3,90,114,0.115454081982815
3,90,117,0.142276983337449
3,90,120,0.170990395349282
3,90,123,0.201797814186411
3,90,126,0.23532470633858
3,90,129,0.272617716179936
3,90,132,0.315122026204524
3,90,135,0.36468022385266
3,90,138,0.423575243171957
3,90,141,0.494584141205794
3,90,144,0.580941174626952
3,90,147,0.686078906217335
3,90,150,0.813070424532346
3,90,153,0.963829086988434
3,90,156,1.13826705840556
3,90,159,1.33368182564633
3,90,162,1.54458491495498
3,90,165,1.76303844840317
3,90,168,1.97940366036222
3,90,171,2.18330719850012
3,90,174,2.36462454817307
3,90,177,2.5143421415619
3,90,180,2.6252420274159
